!!
!!	Повторить последнюю команду
A
alias	Создать псевдоним команды
reboot	Остановить и перезагрузить систему
return	Exit a function •
rev	Обратный порядок символов в строках файла
rm	Удалить файлы
rmdir	Удалить папки
rpm	Remote Package Manager
rs	Преобразовать массив из стандартного ввода
rsync	Удаленное копирование. Синхронизация деревьев каталогов.
S
say	Преобразовать текст в речь
screen	Multiplex terminal, run remote shells via ssh
screencapture	Захватить изображение с экрана на диск
scutil	Управление системными параметрами
sdiff	Сравнить два файла и показать различия в двухколоночном варианте.
security	Administer Keychains, keys, certificates and the Security framework
sed	Потоковый редактор
select	Генерировать список выбора (*)
set	Set a shell variable = value (•)
setfile	Установить или изменить атрибуты файла в HFS+
sh	Запустить командный интерпретатор скрипта в режиме совместимости POSIX
shift	Shift positional parameters (•)
shopt	Set shell options (•)
shutdown	Остановить и перезагрузить Mac OS X
sips	Scriptable image processing system
sleep	Delay for a specified time
softwareupdate	Обновить программное обеспечение на компьютере.
sort	Отсортировать содержимое текстовых файлов построчно
source	Execute commands from a file •
split	Разбить файл на части побайтно или построчно
srm	Безопасное удаление секретных данных
stop	Остановить задачу или процесс
su	Заменить идентификатор пользователя.
sudo	Выполнить команду от имени другого пользователя
sum	Напечатать контрольную сумму и размер файла в блоках
suspend	Suspend execution of this shell •
sw_vers	Напечатать текущую версию операционной системы OS X
system_profiler	Получить отчет о конфигурации вашего Apple Mac
systemsetup	Изменить системные настройки компьютера
T
tail	Output the last part of files
tar	Tape ARchiver
tcpdump	Dump traffic on a network
tee	Копировать данные из стандартного вывода в файлы
test	Condition evaluation •
textutil	Manipulate text files in various formats (Doc,html,rtf)
time	Measure Program Resource Use
times	Print shell & shell process times •
tmutil	Управление параметрами Time Machine
top	Показать процессы information
touch	Изменить время обращения и изменения файла.
tr	Заменить/удалить символы по заданному шаблону
trap	Execute a command when the shell receives a signal •
traceroute	Проследить маршрут к удаленному компьютеру
true	Ничего не делает, Логическая "ИСТИНА"
tty	Print filename of terminal on stdin
type	Describe a command •
U
ufs.util	Смонтировать/размонтировать диск с файловой системой UFS
ulimit	Расширенное управление системными ресурсами для пользователя •
umask	Пользовательская маска файла
umount	демонтировать устройство
unalias	Удалить псевдоним команды •
uname	Распечатать системную информацию.
unexpand	Конвертировать пробелы в символы табуляции.
uniq	Найти и вывести уникальные строки в файле.
units	Convert units from one scale to another
unset	Remove variable or function names •
until	Создание цикла в bash
uptime	Показать как долго Mac OS X работает без перезагрузки.
users	Вывести на Terminal имена текущих пользователей в mac OS X
uuencode	Encode a binary file
uudecode	Decode a file created by uuencode
uuidgen	Generate a Unique ID (UUID/GUID)
uucp	Unix to Unix copy
V
vi	Текстовый редактор.
vm_stat	Вывести информацию об использовании оперативной памяти.
W
wait	Wait for a process to complete •
wc	Посчитать количество строк, слов, символов в файле
whatis	Search the whatis database for complete words
where	Report all known instances of a command
which	Locate a program file in the user's path
while	Команда выполнения цикла bash
who	Вывести на экран список всех зарегистрированных пользователей
whoami	Вывести на экран эффективный ID пользователя
write	Отправить сообщение другому пользователю
X
xargs	Execute utility - passing arguments
Y
yes	Print a string until interrupted
Z
zip	Архивировать утилитой zip
